school_GP,sex_male,age,address_urban,large_famsize,Parents_together,Medu,Fedu,Mjob,Fjob,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,internet,romantic,famrel,freetime,Dalc,Walc,absences_por,por_score,absences_math,math_score,math_pass,por_pass
True,False,18,True,True,False,4,4,False,True,2,2,0,True,False,False,False,True,False,False,4,3,1,1,4.0,11.0,6.0,6.0,0.0,1.0
True,False,17,True,True,True,1,1,False,True,1,2,0,False,True,False,False,False,True,False,5,3,1,1,2.0,11.0,4.0,6.0,0.0,1.0
True,False,15,True,False,True,1,1,False,True,1,2,0,True,False,False,False,True,True,False,4,3,2,3,6.0,12.0,,,,1.0
True,False,15,True,True,True,4,2,True,True,1,3,0,False,True,False,True,True,True,True,3,2,1,1,0.0,14.0,,,,1.0
True,False,16,True,True,True,3,3,True,True,1,2,0,False,True,False,False,True,False,False,4,3,1,2,0.0,13.0,,,,1.0
True,True,16,True,False,True,4,3,True,True,1,2,0,False,True,False,True,True,True,False,5,4,1,2,6.0,13.0,,,,1.0
True,True,16,True,False,True,2,2,True,True,1,2,0,False,False,False,False,True,True,False,4,4,1,1,0.0,13.0,0.0,11.0,1.0,1.0
True,False,17,True,True,False,4,4,True,True,2,2,0,True,True,False,False,True,False,False,4,1,1,1,2.0,13.0,6.0,6.0,0.0,1.0
True,True,15,True,False,False,3,2,True,True,1,2,0,False,True,False,False,True,True,False,4,2,1,1,0.0,17.0,,,,1.0
True,True,15,True,True,True,3,4,True,True,1,2,0,False,True,False,True,True,True,False,5,5,1,1,0.0,13.0,,,,1.0
True,False,15,True,True,True,4,4,True,True,1,2,0,False,True,False,False,True,True,False,3,3,1,2,2.0,14.0,,,,1.0
True,False,15,True,True,True,2,1,True,True,3,3,0,False,True,False,True,True,True,False,5,2,1,1,0.0,13.0,4.0,12.0,1.0,1.0
True,True,15,True,False,True,4,4,True,True,1,1,0,False,True,False,True,True,True,False,4,3,1,3,0.0,12.0,,,,1.0
True,True,15,True,True,True,4,3,True,True,2,2,0,False,True,False,False,True,True,False,5,4,1,2,0.0,13.0,,,,1.0
True,True,15,True,True,False,2,2,True,True,1,3,0,False,True,False,False,True,True,True,4,5,1,1,0.0,15.0,0.0,16.0,1.0,1.0
True,False,16,True,True,True,4,4,True,True,1,1,0,False,True,False,False,True,True,False,4,4,1,2,6.0,17.0,4.0,14.0,1.0,1.0
True,False,16,True,True,True,4,4,True,True,1,3,0,False,True,False,True,True,True,False,3,2,1,2,10.0,14.0,,,,1.0
True,False,16,True,True,True,3,3,True,True,3,2,0,True,True,False,True,True,False,False,5,3,1,1,2.0,14.0,4.0,10.0,1.0,1.0
True,True,17,True,True,True,3,2,True,True,1,1,3,False,True,True,True,True,True,False,5,5,2,4,2.0,7.0,,,,0.0
True,True,16,True,False,True,4,3,True,True,1,1,0,False,False,False,True,True,True,False,3,1,1,3,6.0,12.0,,,,1.0
True,True,15,True,True,True,4,3,True,True,1,2,0,False,False,False,False,True,True,False,4,4,1,1,0.0,14.0,0.0,15.0,1.0,1.0
True,True,15,True,True,True,4,4,True,True,1,1,0,False,True,True,False,True,True,False,5,4,1,1,0.0,12.0,0.0,15.0,1.0,1.0
True,True,16,True,False,True,4,2,True,True,1,2,0,False,False,False,True,True,True,False,4,5,1,3,0.0,14.0,2.0,16.0,1.0,1.0
True,True,16,True,False,True,2,2,True,True,2,2,0,False,True,False,True,True,True,False,5,4,2,4,2.0,10.0,0.0,12.0,1.0,1.0
True,False,15,False,True,True,2,4,True,True,1,3,0,True,True,False,True,True,True,False,4,3,1,1,2.0,10.0,,,,1.0
True,False,16,True,True,True,2,2,True,True,1,1,0,False,True,False,False,False,True,False,1,2,1,3,6.0,12.0,,,,1.0
True,True,15,True,True,True,2,2,True,True,1,1,0,False,True,False,False,True,True,False,4,2,1,2,8.0,12.0,,,,1.0
True,True,15,True,True,True,4,2,True,True,1,1,0,False,False,False,False,True,True,False,2,2,2,4,0.0,11.0,,,,1.0
True,True,16,True,False,False,3,4,True,True,1,2,0,True,True,True,True,True,True,False,5,3,1,1,2.0,13.0,,,,1.0
True,True,16,True,True,True,4,4,True,True,1,2,0,False,True,True,True,True,True,True,4,4,5,5,4.0,12.0,16.0,11.0,1.0,1.0
True,True,15,True,True,True,4,4,True,True,1,2,0,False,True,True,False,False,True,False,5,4,3,4,0.0,11.0,0.0,12.0,1.0,1.0
True,True,15,True,True,True,4,4,True,True,2,2,0,False,True,False,True,True,True,False,4,3,1,1,2.0,15.0,0.0,17.0,1.0,1.0
True,True,15,False,True,True,4,3,True,False,1,2,0,False,True,False,True,True,True,True,4,5,1,1,0.0,15.0,0.0,16.0,1.0,1.0
True,True,15,True,False,True,3,3,True,True,1,2,0,False,False,False,True,False,True,False,5,3,1,1,0.0,12.0,0.0,12.0,1.0,1.0
True,True,16,True,True,True,3,2,True,True,1,1,0,False,True,False,False,False,True,False,5,4,1,1,4.0,12.0,,,,1.0
True,False,15,True,True,True,2,3,True,True,2,1,0,False,True,False,True,True,False,False,3,5,1,1,4.0,11.0,0.0,6.0,0.0,1.0
True,True,15,True,False,True,4,3,True,True,1,3,0,False,True,False,True,True,True,False,5,4,1,1,0.0,14.0,2.0,18.0,1.0,1.0
True,True,16,False,True,False,4,4,True,True,2,3,0,False,True,False,True,True,True,True,2,4,1,1,4.0,13.0,7.0,15.0,1.0,1.0
True,False,15,False,True,True,3,4,True,True,1,3,0,True,True,False,True,True,True,False,4,3,1,1,2.0,12.0,,,,1.0
True,False,15,False,True,True,2,2,False,True,1,1,0,True,True,False,True,True,False,False,4,3,1,1,8.0,12.0,,,,1.0
True,False,16,True,False,True,2,2,True,True,2,2,0,False,True,False,True,False,True,True,3,3,1,2,16.0,10.0,,,,1.0
True,True,15,True,False,True,4,4,True,True,1,1,0,False,True,False,False,False,True,True,5,4,2,4,8.0,11.0,8.0,12.0,1.0,1.0
True,True,15,True,True,True,4,4,True,True,1,2,0,False,True,False,True,True,True,False,4,3,1,1,0.0,15.0,2.0,18.0,1.0,1.0
True,True,15,True,True,True,2,2,True,True,1,1,0,True,True,False,False,True,True,False,5,4,1,1,0.0,10.0,0.0,11.0,1.0,1.0
True,False,16,True,False,True,2,2,True,False,2,2,1,True,False,False,True,True,True,False,4,3,2,2,14.0,11.0,14.0,9.0,0.0,1.0
True,False,15,True,False,False,4,3,True,True,1,2,0,True,True,True,True,True,True,True,5,2,1,1,4.0,11.0,8.0,6.0,0.0,1.0
True,False,16,True,False,False,3,3,True,True,1,2,0,False,True,False,False,True,True,False,2,3,1,4,6.0,13.0,12.0,11.0,1.0,1.0
True,True,16,True,True,True,4,3,True,True,1,4,0,False,False,False,True,True,True,False,4,2,1,1,2.0,17.0,4.0,20.0,1.0,1.0
True,True,15,True,True,True,4,2,True,True,1,2,0,False,True,False,False,True,False,False,4,3,2,2,4.0,13.0,,,,1.0
True,False,15,True,True,True,4,4,True,True,1,2,0,True,True,False,True,False,True,False,4,4,1,1,2.0,12.0,,,,1.0
True,False,16,True,False,True,2,2,True,True,3,2,0,False,True,False,False,True,True,False,4,3,2,3,0.0,13.0,,,,1.0
