,student_id,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,internet,romantic,famrel,freetime,Dalc,Walc,absences_por,por_score,absences_math,math_score
0,1.0,GP,F,18,U,GT3,A,4,4,at_home,teacher,2,2,0,yes,no,no,no,yes,no,no,4,3,1,1,4.0,11.0,6.0,6.0
1,2.0,GP,F,17,U,GT3,T,1,1,at_home,other,1,2,0,no,yes,no,no,no,yes,no,5,3,1,1,2.0,11.0,4.0,6.0
2,3.0,GP,F,15,U,LE3,T,1,1,at_home,other,1,2,0,yes,no,no,no,yes,yes,no,4,3,2,3,6.0,12.0,,
3,4.0,GP,F,15,U,GT3,T,4,2,health,services,1,3,0,no,yes,no,yes,yes,yes,yes,3,2,1,1,0.0,14.0,,
4,5.0,GP,F,16,U,GT3,T,3,3,other,other,1,2,0,no,yes,no,no,yes,no,no,4,3,1,2,0.0,13.0,,
5,6.0,GP,M,16,U,LE3,T,4,3,services,other,1,2,0,no,yes,no,yes,yes,yes,no,5,4,1,2,6.0,13.0,,
6,7.0,GP,M,16,U,LE3,T,2,2,other,other,1,2,0,no,no,no,no,yes,yes,no,4,4,1,1,0.0,13.0,0.0,11.0
7,8.0,GP,F,17,U,GT3,A,4,4,other,teacher,2,2,0,yes,yes,no,no,yes,no,no,4,1,1,1,2.0,13.0,6.0,6.0
8,9.0,GP,M,15,U,LE3,A,3,2,services,other,1,2,0,no,yes,no,no,yes,yes,no,4,2,1,1,0.0,17.0,,
9,10.0,GP,M,15,U,GT3,T,3,4,other,other,1,2,0,no,yes,no,yes,yes,yes,no,5,5,1,1,0.0,13.0,,
10,11.0,GP,F,15,U,GT3,T,4,4,teacher,health,1,2,0,no,yes,no,no,yes,yes,no,3,3,1,2,2.0,14.0,,
11,12.0,GP,F,15,U,GT3,T,2,1,services,other,3,3,0,no,yes,no,yes,yes,yes,no,5,2,1,1,0.0,13.0,4.0,12.0
12,13.0,GP,M,15,U,LE3,T,4,4,health,services,1,1,0,no,yes,no,yes,yes,yes,no,4,3,1,3,0.0,12.0,,
13,14.0,GP,M,15,U,GT3,T,4,3,teacher,other,2,2,0,no,yes,no,no,yes,yes,no,5,4,1,2,0.0,13.0,,
14,15.0,GP,M,15,U,GT3,A,2,2,other,other,1,3,0,no,yes,no,no,yes,yes,yes,4,5,1,1,0.0,15.0,0.0,16.0
15,16.0,GP,F,16,U,GT3,T,4,4,health,other,1,1,0,no,yes,no,no,yes,yes,no,4,4,1,2,6.0,17.0,4.0,14.0
16,17.0,GP,F,16,U,GT3,T,4,4,services,services,1,3,0,no,yes,no,yes,yes,yes,no,3,2,1,2,10.0,14.0,,
17,18.0,GP,F,16,U,GT3,T,3,3,other,other,3,2,0,yes,yes,no,yes,yes,no,no,5,3,1,1,2.0,14.0,4.0,10.0
18,19.0,GP,M,17,U,GT3,T,3,2,services,services,1,1,3,no,yes,yes,yes,yes,yes,no,5,5,2,4,2.0,7.0,,
19,20.0,GP,M,16,U,LE3,T,4,3,health,other,1,1,0,no,no,no,yes,yes,yes,no,3,1,1,3,6.0,12.0,,
20,21.0,GP,M,15,U,GT3,T,4,3,teacher,other,1,2,0,no,no,no,no,yes,yes,no,4,4,1,1,0.0,14.0,0.0,15.0
21,22.0,GP,M,15,U,GT3,T,4,4,health,health,1,1,0,no,yes,yes,no,yes,yes,no,5,4,1,1,0.0,12.0,0.0,15.0
22,23.0,GP,M,16,U,LE3,T,4,2,teacher,other,1,2,0,no,no,no,yes,yes,yes,no,4,5,1,3,0.0,14.0,2.0,16.0
23,24.0,GP,M,16,U,LE3,T,2,2,other,other,2,2,0,no,yes,no,yes,yes,yes,no,5,4,2,4,2.0,10.0,0.0,12.0
24,25.0,GP,F,15,R,GT3,T,2,4,services,health,1,3,0,yes,yes,no,yes,yes,yes,no,4,3,1,1,2.0,10.0,,
25,26.0,GP,F,16,U,GT3,T,2,2,services,services,1,1,0,no,yes,no,no,no,yes,no,1,2,1,3,6.0,12.0,,
26,27.0,GP,M,15,U,GT3,T,2,2,other,other,1,1,0,no,yes,no,no,yes,yes,no,4,2,1,2,8.0,12.0,,
27,28.0,GP,M,15,U,GT3,T,4,2,health,services,1,1,0,no,no,no,no,yes,yes,no,2,2,2,4,0.0,11.0,,
28,29.0,GP,M,16,U,LE3,A,3,4,services,other,1,2,0,yes,yes,yes,yes,yes,yes,no,5,3,1,1,2.0,13.0,,
29,30.0,GP,M,16,U,GT3,T,4,4,teacher,teacher,1,2,0,no,yes,yes,yes,yes,yes,yes,4,4,5,5,4.0,12.0,16.0,11.0
30,31.0,GP,M,15,U,GT3,T,4,4,health,services,1,2,0,no,yes,yes,no,no,yes,no,5,4,3,4,0.0,11.0,0.0,12.0
31,32.0,GP,M,15,U,GT3,T,4,4,services,services,2,2,0,no,yes,no,yes,yes,yes,no,4,3,1,1,2.0,15.0,0.0,17.0
32,33.0,GP,M,15,R,GT3,T,4,3,teacher,at_home,1,2,0,no,yes,no,yes,yes,yes,yes,4,5,1,1,0.0,15.0,0.0,16.0
33,34.0,GP,M,15,U,LE3,T,3,3,other,other,1,2,0,no,no,no,yes,no,yes,no,5,3,1,1,0.0,12.0,0.0,12.0
34,35.0,GP,M,16,U,GT3,T,3,2,other,other,1,1,0,no,yes,no,no,no,yes,no,5,4,1,1,4.0,12.0,,
35,36.0,GP,F,15,U,GT3,T,2,3,other,other,2,1,0,no,yes,no,yes,yes,no,no,3,5,1,1,4.0,11.0,0.0,6.0
36,37.0,GP,M,15,U,LE3,T,4,3,teacher,services,1,3,0,no,yes,no,yes,yes,yes,no,5,4,1,1,0.0,14.0,2.0,18.0
37,38.0,GP,M,16,R,GT3,A,4,4,other,teacher,2,3,0,no,yes,no,yes,yes,yes,yes,2,4,1,1,4.0,13.0,7.0,15.0
38,39.0,GP,F,15,R,GT3,T,3,4,services,health,1,3,0,yes,yes,no,yes,yes,yes,no,4,3,1,1,2.0,12.0,,
39,40.0,GP,F,15,R,GT3,T,2,2,at_home,other,1,1,0,yes,yes,no,yes,yes,no,no,4,3,1,1,8.0,12.0,,
40,41.0,GP,F,16,U,LE3,T,2,2,other,other,2,2,0,no,yes,no,yes,no,yes,yes,3,3,1,2,16.0,10.0,,
41,42.0,GP,M,15,U,LE3,T,4,4,teacher,other,1,1,0,no,yes,no,no,no,yes,yes,5,4,2,4,8.0,11.0,8.0,12.0
42,43.0,GP,M,15,U,GT3,T,4,4,services,teacher,1,2,0,no,yes,no,yes,yes,yes,no,4,3,1,1,0.0,15.0,2.0,18.0
43,44.0,GP,M,15,U,GT3,T,2,2,services,services,1,1,0,yes,yes,no,no,yes,yes,no,5,4,1,1,0.0,10.0,0.0,11.0
44,45.0,GP,F,16,U,LE3,T,2,2,other,at_home,2,2,1,yes,no,no,yes,yes,yes,no,4,3,2,2,14.0,11.0,14.0,9.0
45,46.0,GP,F,15,U,LE3,A,4,3,other,other,1,2,0,yes,yes,yes,yes,yes,yes,yes,5,2,1,1,4.0,11.0,8.0,6.0
